Function,KPSA,PSO
Ackley,0.8333333333333334,0.16666666666666666
Griewank,0.06666666666666667,0.9333333333333333
Levy,0.6333333333333333,0.36666666666666664
Rastrigin,0.9,0.1
Rosenbrock,0.7333333333333333,0.26666666666666666
Schwefel,0.0,1.0
Sphere,0.06666666666666667,0.9333333333333333
