,KPSA,KPSA,KPSA,KPSA,PSO,PSO,PSO,PSO,Crisis,Crisis,Crisis,Crisis
,mean,std,min,max,mean,std,min,max,mean,std,min,max
Function,,,,,,,,,,,,
Ackley,0.4863083013803818,0.5863623031256444,0.049384906058275835,2.427479376264565,3.255522474671813,4.11967753830543,0.008511770502373839,15.176399350133575,3.6333333333333333,1.4967397519467007,2,7
Griewank,0.44497971956570737,0.1366767931366276,0.23893191708009576,0.7163129797364055,6.054305833181574,22.952832183350385,7.282306929812243e-05,90.51770426976675,3.2666666666666666,1.3113124074319809,1,5
Levy,5.045728969191286,2.4792348609568355,1.0936379328658827,10.17205169532284,9.318833682097686,7.788121051567634,0.5448242615679184,29.42867247552743,2.466666666666667,1.5252661346824676,0,5
Rastrigin,52.044766317986344,17.31799785488142,28.910486440951615,92.63581632639452,102.93972517761964,29.003099650951484,40.84930583302787,154.28379317650192,3.8333333333333335,1.6832508230603465,0,7
Rosenbrock,92.13571708699511,44.77514526165289,5.952560973539587,185.18004612834545,24398.294826332032,34480.414678436464,24.147143113260025,111043.48808185723,1.8,1.1861267013789625,0,4
Schwefel,5861.376830589477,1203.9411056003778,3854.8683633071414,8193.791377643985,3784.6322622626917,705.5762664971852,2518.8931560597084,5639.057903584232,3.8333333333333335,0.9855274566525745,2,6
Sphere,0.12514818109310338,0.04090935343828703,0.05917011674393485,0.2215802786509515,666.6690669640756,2537.080727650749,6.655396407962651e-05,10000.000334042214,3.2,1.2972118642263706,1,5
