Function,Seed,KPSA,PSO,Crisis
Ackley,21,0.11449916515411163,14.72951274016725,5
Ackley,22,1.423726147327859,2.579828819719961,3
Ackley,23,0.5788766558387306,2.886872992565245,2
Ackley,24,0.3228094520742393,2.4416723676643532,2
Ackley,25,1.211295298492701,0.008511770502373839,5
Ackley,26,0.0987456428965463,5.225211481737141,3
Ackley,27,0.11869973891141017,2.9580097771195146,4
Ackley,28,0.20824054320429797,2.8874636958806055,5
Ackley,29,0.09389519324615891,1.3406009051002177,2
Rosenbrock,0,138.08093485716336,82.35156816988395,2
Rosenbrock,1,69.52590129611671,78.33918514979163,4
Rosenbrock,2,133.90122854811955,55546.64797069717,1
Rosenbrock,3,5.952560973539587,24.147143113260025,1
Rosenbrock,4,93.34976354210525,55534.85397258653,2
Rosenbrock,5,65.95815584303882,55545.037722150715,2
Rosenbrock,6,72.94297823695715,28.998165032749437,1
Rosenbrock,7,80.2962711331435,55106.75080792531,2
Rosenbrock,8,68.36421615758456,58073.88612301147,4
Rosenbrock,9,71.09263678895171,122.36335179900391,3
Rosenbrock,10,69.10720231472455,2533.2214663763793,2
Rosenbrock,11,137.23063794956676,326.4661756857827,3
Rosenbrock,12,22.043583442039942,109489.98412091512,0
Rosenbrock,13,160.8260072897862,95.58028888578892,1
Rosenbrock,14,151.59980769869915,79.55640281325269,2
Rosenbrock,15,78.13062025944087,111043.48808185723,3
Rosenbrock,16,25.670725038255895,1019.8313873837104,1
Rosenbrock,17,70.04101827293563,55526.74023163769,4
Rosenbrock,18,71.70882055721971,55541.80850466034,0
Rosenbrock,19,83.55589880801483,1016.0552601890208,1
Rosenbrock,20,69.73652111929717,55532.35032531054,1
Rosenbrock,21,53.67892314257266,83.99620724392585,3
Rosenbrock,22,76.3878235562108,1019.145970842958,1
Rosenbrock,23,67.70700469725874,2527.750709067332,1
Rosenbrock,24,70.89454686138455,95.16503712827898,2
Rosenbrock,25,126.10207047001872,55546.93146634768,0
Rosenbrock,26,136.75231707285747,115.41483437296468,3
Rosenbrock,27,148.90507154472633,85.86116706698218,0
Rosenbrock,28,159.34821900977786,89.01897209079365,2
Rosenbrock,29,185.18004612834545,37.10217044939886,2
Griewank,0,0.442583901269171,0.0017332685690888416,4
Griewank,1,0.4393971955178344,0.014619175916191773,3
Griewank,2,0.2767632310760838,0.010387188891363586,3
Griewank,3,0.4485181599094098,0.11631072075969995,4
Griewank,4,0.5190334575175374,0.0002295047053737509,3
Griewank,5,0.41267064013126464,0.0011301836817438904,2
Griewank,6,0.4697427281130129,0.015119160464525883,4
Griewank,7,0.546984567141753,0.0005145908859348625,2
Griewank,8,0.4189426747836027,0.07650347173334104,1
Griewank,9,0.4381258566800038,0.1470720188718474,5
Griewank,10,0.7087831131418816,90.46699326365813,5
Griewank,11,0.6213453422438016,0.0014338247283768313,3
Griewank,12,0.4607679191140639,0.055678962791415376,5
Griewank,13,0.3738991258460892,0.007751242785711154,5
Griewank,14,0.25483147052070176,0.015957359551714956,3
Griewank,15,0.6958198518999147,0.0014727189220520298,2
Griewank,16,0.34608964870540204,0.0025441596859075988,4
Griewank,17,0.2641427558619691,0.027879437288644615,4
Griewank,18,0.28573120459934986,0.01760330017496836,5
Griewank,19,0.23893191708009576,0.007704961968341251,4
Griewank,20,0.7163129797364055,0.03698111414507743,1
Griewank,21,0.29651154226283793,0.03274217802074186,3
Griewank,22,0.38224341623267144,0.000689446369785629,1
Griewank,23,0.5618103952651237,0.0013142662831969742,3
Griewank,24,0.6543663261773118,0.008490417024242802,3
Griewank,25,0.3650438009330147,0.0006431492283848206,2
Griewank,26,0.4966443113893245,90.51770426976675,1
Griewank,27,0.4199589124280515,0.02536288127613151,5
Griewank,28,0.3322544127119068,0.01653593422923305,4
Griewank,29,0.4611407286816298,7.282306929812243e-05,4
Schwefel,0,6001.564072049752,3820.513514384773,3
Schwefel,1,5784.73836434334,3676.69547288184,5
Schwefel,2,3854.8683633071414,3440.79673364868,3
Schwefel,3,5885.892925781164,3624.328476016075,4
Schwefel,4,5764.830163186424,3064.266819734208,4
Schwefel,5,5034.533826111806,4289.657335116475,5
Schwefel,6,8193.791377643985,4945.718930494009,4
Schwefel,7,5508.227709438868,4672.089328520383,3
Schwefel,8,7068.497237126037,3779.525155803778,5
Schwefel,9,4541.104654754072,3680.5797477292963,4
Schwefel,10,8076.476723655601,5639.057903584232,3
Schwefel,11,6695.613258735569,5192.979763651046,4
Schwefel,12,4449.921644282156,3735.4108831781505,4
Schwefel,13,5277.525764399247,3208.4892677080934,6
Schwefel,14,6989.281161855527,4047.7847125885364,3
Schwefel,15,3968.8387180469635,2518.8931560597084,4
Schwefel,16,6850.766960611345,2974.6122839141444,4
Schwefel,17,5773.886800508916,4357.765132210852,5
Schwefel,18,5185.6526177319265,4376.189954803445,4
Schwefel,19,7584.5415723352635,3264.7054562265457,4
Schwefel,20,5006.598754716075,4000.9330699106613,4
Schwefel,21,6391.03366855943,3030.841123312779,2
Schwefel,22,6399.11623222412,3750.7744792468166,4
Schwefel,23,6435.957692298268,3637.29301779253,3
Schwefel,24,3892.4524367574104,3405.704552645251,2
Schwefel,25,4878.651515571825,3802.1826109902177,3
Schwefel,26,4741.79873442717,2869.8951148266624,6
Schwefel,27,5686.821308913802,3362.059823260892,3
Schwefel,28,6199.119996462346,4189.551944305706,3
Schwefel,29,7719.2006618487685,3179.6721033349713,4
Levy,0,6.314127122898159,21.55135742769995,5
Levy,1,6.443674787070104,4.041762198432738,4
Levy,2,1.0936379328658827,10.816792270211076,4
Levy,3,4.6481742540684525,4.972965449642359,2
Levy,4,5.887044933575023,9.270539257636111,3
Levy,5,8.573123046763582,4.972682505454097,1
Levy,6,2.608319060159493,5.179108788136241,2
Levy,7,2.912575669440136,1.1772608595765954,1
Levy,8,7.371959554276823,0.5448242615679184,1
Levy,9,2.1709880571553533,1.9964109040178222,5
Levy,10,1.7286155811000732,1.1796866991646888,1
Levy,11,8.767174348817314,9.183012803573753,2
Levy,12,4.49824397044486,9.701305093912168,0
Levy,13,6.172837753479034,4.724897173080429,1
Levy,14,10.17205169532284,16.244275744001783,4
Levy,15,1.612164497016476,24.635814579230242,1
Levy,16,4.572328303255414,8.180374455029314,3
Levy,17,6.801908961113494,9.629020159036473,2
Levy,18,2.453154076904971,18.909407609089772,4
Levy,19,4.553713153290716,9.157473821523562,5
Levy,20,1.9736274797972015,9.180850756006631,1
Levy,21,3.722224599673484,5.090202626054468,3
Levy,22,6.918453029630867,5.819987262611832,3
Levy,23,4.829920056332999,10.427013543366604,4
Levy,24,4.5247739718028495,0.6334061238957885,0
Levy,25,5.457635476688614,10.303394946384028,3
Levy,26,9.546890057410389,29.42867247552743,3
Levy,27,2.616527319363441,2.2728675479888065,0
Levy,28,5.038115984567602,4.360498254717273,3
Levy,29,7.3878843414529305,25.97914486636066,3
